Ticker;Companies;GisSector;GicsClassification;FichierSTCKP;CompanyGR2014;CompanyGR2015;CompanyGR2016
NOC;270;Industrials;6;NOC_quarterly_financial_data.xls;northrop grumman;northrop grumman corporation;northrop grumman corp
NOV;271;Energy;3;NOV_quarterly_financial_data.xls;national oilwell varco;national oilwell varco inc;national oilwell varco inc
NOW;272;Information Technology;7;NA;servicenow;servicenow inc;servicenow inc
NSC;273;Industrials;6;NSC_quarterly_financial_data.xls;norfolk southern;norfolk southern corporation;norfolk southern corp
NTRS;274;Financials;4;NTRS_quarterly_financial_data.xls;northern trust;northern trust corporation;northern trust corp
NUE;275;Materials;8;NUE_quarterly_financial_data.xls;nucor;nucor corporation;nucor corp
NVDA;276;Information Technology;7;NVDA_quarterly_financial_data.xls;nvidia;nvidia corporation;nvidia corp
NWL;277;Consumer Discretionary;1;NWL_quarterly_financial_data.xls;newell rubbermaid;newell rubbermaid inc;newell rubbermaid inc
O;278;Financials;4;O_quarterly_financial_data.xls;realty income;realty income corporation;realty income corp
OKE;279;Energy;3;OKE_quarterly_financial_data.xls;oneok;oneok inc;oneok partners lp
OMC;280;Consumer Discretionary;1;OMC_quarterly_financial_data.xls;omnicom group;omnicom group inc;omnicom group inc
ORCL;281;Information Technology;7;ORCL_quarterly_financial_data.xls;oracle corp;oracle corporation;oracle corp
ORLY;282;Consumer Discretionary;1;ORLY_quarterly_financial_data.xls;o'reilly automotive;o'reilly automotive inc;o'reilly automotive inc
OXY;283;Energy;3;OXY_quarterly_financial_data.xls;occidental petroleum;occidental petroleum corporation;occidental petroleum corp
PAA;284;Energy;3;NA;plains all american pipeline;plains all american pipeline lp;plains all american pipeline lp
PAYX;285;Information Technology;7;PAYX_quarterly_financial_data.xls;paychex;paychex inc;paychex inc
PCAR;286;Industrials;6;PCAR_quarterly_financial_data.xls;paccar;paccar inc;paccar inc
PCG;287;Utilities;11;PCG_quarterly_financial_data.xls;pg&e;pg&e corporation;pg&e corp
PCLN;288;Consumer Discretionary;1;PCLN_quarterly_financial_data.xls;pricelinecom;the priceline group inc;priceline group inc
PEG;289;Utilities;11;PEG_quarterly_financial_data.xls;public service enterprise group;public service enterprise group incorporated;public service enterprise group inc
PEP;290;Consumer Staples;2;PEP_quarterly_financial_data.xls;pepsico;pepsico inc;pepsico inc
PFE;291;Health Care;5;PFE_quarterly_financial_data.xls;pfizer;pfizer inc;pfizer inc
PFG;292;Financials;4;PFG_quarterly_financial_data.xls;principal financial group;principal financial group inc;principal financial group inc
PG;293;Consumer Staples;2;PG_quarterly_financial_data.xls;procter & gamble;the procter & gamble company;procter & gamble co
PGR;294;Financials;4;PGR_quarterly_financial_data.xls;progressive;the progressive corporation;progressive corp
PH;295;Industrials;6;PH_quarterly_financial_data.xls;parker hannifin;parker-hannifin corporation;parker-hannifin corp
PLD;296;Financials;4;PLD_quarterly_financial_data.xls;prologis;prologis inc;prologis inc
PM;297;Consumer Staples;2;PM_quarterly_financial_data.xls;philip morris international;philip morris international inc;philip morris international inc
PNC;298;Financials;4;PNC_quarterly_financial_data.xls;pnc financial services group;the pnc financial services group inc;pnc financial services group inc
PPG;299;Materials;8;PPG_quarterly_financial_data.xls;ppg industries;ppg industries inc;ppg industries inc
PPL;300;Utilities;11;PPL_quarterly_financial_data.xls;ppl;ppl corporation;ppl corp
PRU;301;Financials;4;PRU_quarterly_financial_data.xls;prudential financial;prudential financial inc;prudential financial inc
PSX;302;Energy;3;PSX_quarterly_financial_data.xls;phillips 66;phillips 66;phillips 66
PX;303;Materials;8;PX_quarterly_financial_data.xls;praxair;praxair inc;praxair inc
PXD;304;Energy;3;PXD_quarterly_financial_data.xls;pioneer natural resources;pioneer natural resources company;pioneer natural resources co
QCOM;305;Information Technology;7;QCOM_quarterly_financial_data.xls;qualcomm;qualcomm incorporated;qualcomm inc
RAI;306;Consumer Staples;2;RAI_quarterly_financial_data.xls;reynolds american;reynolds american inc;reynolds american inc
RCL;307;Consumer Discretionary;1;RCL_quarterly_financial_data.xls;royal caribbean cruises;royal caribbean cruises ltd;royal caribbean cruises ltd
REGN;308;Health Care;5;REGN_quarterly_financial_data.xls;regeneron pharmaceuticals;regeneron pharmaceuticals inc;regeneron pharmaceuticals inc
RF;309;Financials;4;RF_quarterly_financial_data.xls;regions financial;regions financial corporation;regions financial corp
RHT;310;Information Technology;7;RHT_quarterly_financial_data.xls;red hat;red hat inc;red hat inc
RL;311;Consumer Discretionary;1;RL_quarterly_financial_data.xls;ralph lauren;ralph lauren corporation;ralph lauren corp
ROK;312;Industrials;6;ROK_quarterly_financial_data.xls;rockwell automation;rockwell automation inc;rockwell automation inc
ROP;313;Industrials;6;ROP_quarterly_financial_data.xls;roper industries;roper industries inc;roper industries inc
ROST;314;Consumer Discretionary;1;ROST_quarterly_financial_data.xls;ross stores;ross stores inc;ross stores inc
RSG;315;Industrials;6;RSG_quarterly_financial_data.xls;republic services;republic services inc;republic services inc
RTN;316;Industrials;6;RTN_quarterly_financial_data.xls;raytheon;raytheon company;raytheon co
S;317;Telecommunication Services;10;S_quarterly_financial_data.xls;sprint;sprint corporation;sprint corp
SBAC;318;Telecommunication Services;10;SBAC_quarterly_financial_data.xls;sba communications;sba communications corporation;sba communications corp
SBUX;319;Consumer Discretionary;1;SBUX_quarterly_financial_data.xls;starbucks;starbucks corporation;starbucks corp
SCHW;320;Financials;4;SCHW_quarterly_financial_data.xls;charles schwab;the charles schwab corporation;charles schwab corp
SE;321;Energy;3;SE_quarterly_financial_data.xls;spectra energy;spectra energy corp;spectra energy corp
SHW;322;Materials;8;SHW_quarterly_financial_data.xls;sherwin-williams;the sherwin-williams company;sherwin-williams co
SIRI;323;Consumer Discretionary;1;NA;sirius xm holdings;sirius xm holdings inc;sirius xm holdings inc
SJM;324;Consumer Staples;2;SJM_quarterly_financial_data.xls;jm smucker;the j m smucker company;jm smucker co
SLB;325;Energy;3;SLB_quarterly_financial_data.xls;schlumberger;schlumberger limited;schlumberger ltd
SLG;326;Financials;4;SLG_quarterly_financial_data.xls;sl green realty;sl green realty corp;sl green realty corp
SNDK;327;Information Technology;7;SNDK_quarterly_financial_data.xls;sandisk;sandisk corporation;sandisk corp
SO;328;Utilities;11;NA;southern;the southern company;southern co
SPG;329;Financials;4;SPG_quarterly_financial_data.xls;simon property group;simon property group inc;simon property group inc
SRCL;330;Industrials;6;SRCL_quarterly_financial_data.xls;stericycle;stericycle inc;stericycle inc
SRE;331;Utilities;11;SRE_quarterly_financial_data.xls;sempra energy;sempra energy;sempra energy
STI;332;Financials;4;STI_quarterly_financial_data.xls;suntrust banks;suntrust banks inc;suntrust banks inc
STJ;333;Health Care;5;STJ_quarterly_financial_data.xls;st jude medical;st jude medical inc;st jude medical inc
STT;334;Financials;4;STT_quarterly_financial_data.xls;state street;state street corporation;state street corp
STZ;335;Consumer Staples;2;STZ_quarterly_financial_data.xls;constellation brands;constellation brands inc;constellation brands inc
SWK;336;Industrials;6;SWK_quarterly_financial_data.xls;stanley black & decker;stanley black & decker inc;stanley black & decker inc
SYK;337;Health Care;5;SYK_quarterly_financial_data.xls;stryker;stryker corporation;stryker corp
SYMC;338;Information Technology;7;SYMC_quarterly_financial_data.xls;symantec;symantec corporation;symantec corp
SYY;339;Consumer Staples;2;SYY_quarterly_financial_data.xls;sysco;sysco corporation;sysco corp
T;340;Telecommunication Services;10;T_quarterly_financial_data.xls;at&t;at&t inc;at&t inc
TAP;341;Consumer Staples;2;TAP_quarterly_financial_data.xls;molson coors brewing;molson coors brewing company;molson coors brewing co
TDG;342;Industrials;6;TDG_quarterly_financial_data.xls;transdigm group;transdigm group incorporated;transdigm group inc
TGT;343;Consumer Discretionary;1;TGT_quarterly_financial_data.xls;target;target corporation;target corp
TIF;344;Consumer Discretionary;1;TIF_quarterly_financial_data.xls;tiffany;tiffany & co;tiffany & co
TJX;345;Consumer Discretionary;1;TJX_quarterly_financial_data.xls;tjx;the tjx companies inc;tjx cos inc
TMO;346;Health Care;5;TMO_quarterly_financial_data.xls;thermo fisher scientific;thermo fisher scientific inc;thermo fisher scientific inc
TMUS;347;Telecommunication Services;10;NA;t-mobile us;t-mobile us inc;t-mobile us inc
TRI;348;Consumer Discretionary;1;NA;thomson reuters;thomson reuters corporation;thomson reuters corp
TRIP;349;Consumer Discretionary;1;TRIP_quarterly_financial_data.xls;tripadvisor;tripadvisor inc;tripadvisor inc
TROW;350;Financials;4;TROW_quarterly_financial_data.xls;t rowe price group;t rowe price group inc;t rowe price group inc
TRV;351;Financials;4;TRV_quarterly_financial_data.xls;travelers;the travelers companies inc;travelers cos inc
TSCO;352;Consumer Discretionary;1;TSCO_quarterly_financial_data.xls;tractor supply;tractor supply company;tractor supply co
TSLA;353;Consumer Discretionary;1;TSLA_quarterly_financial_data.xls;tesla motors;tesla motors inc;tesla motors inc
TSN;354;Consumer Staples;2;TSN_quarterly_financial_data.xls;tyson foods;tyson foods inc;tyson foods inc
TWC;355;Consumer Discretionary;1;TWC_quarterly_financial_data.xls;time warner cable;time warner cable inc;time warner cable inc
TWX;356;Consumer Discretionary;1;TWX_quarterly_financial_data.xls;time warner;time warner inc;time warner cable inc
TXN;357;Information Technology;7;TXN_quarterly_financial_data.xls;texas instruments;texas instruments incorporated;texas instruments inc
TXT;358;Industrials;6;TXT_quarterly_financial_data.xls;textron;textron inc;textron inc
UA;359;Consumer Discretionary;1;UA_quarterly_financial_data.xls;under armour;under armour inc;under armour inc
UAL;360;Industrials;6;UAL_quarterly_financial_data.xls;united continental holdings;united continental holdings inc;united continental holdings inc
UHS;361;Health Care;5;UHS_quarterly_financial_data.xls;universal health services;universal health services inc;universal health services inc
UNH;362;Health Care;5;UNH_quarterly_financial_data.xls;unitedhealth group;unitedhealth group incorporated;unitedhealth group inc
UNM;363;Financials;4;UNM_quarterly_financial_data.xls;unum group;unum group;unum group
UPS;364;Industrials;6;UPS_quarterly_financial_data.xls;united parcel service;united parcel service inc;united parcel service inc
USB;365;Financials;4;USB_quarterly_financial_data.xls;us bancorp;us bancorp;us bancorp
UTX;366;Industrials;6;UTX_quarterly_financial_data.xls;united technologies;united technologies corporation;united technologies corp
V;367;Information Technology;7;V_quarterly_financial_data.xls;visa;visa inc;visa inc
VFC;368;Consumer Discretionary;1;VFC_quarterly_financial_data.xls;vf;vf corporation;vf corp
VIA;369;Consumer Discretionary;1;VIA.B_quarterly_financial_data.xls;viacom;viacom inc;viacom inc
VLO;370;Energy;3;VLO_quarterly_financial_data.xls;valero energy;valero energy corporation;valero energy corp
VMW;371;Information Technology;7;NA;vmware;vmware inc;vmware inc
VNO;372;Financials;4;VNO_quarterly_financial_data.xls;vornado realty;vornado realty trust;vornado realty trust
VRSK;373;Industrials;6;VRSK_quarterly_financial_data.xls;verisk analytics;verisk analytics inc;verisk analytics inc
VRTX;374;Health Care;5;VRTX_quarterly_financial_data.xls;vertex pharmaceuticals;vertex pharmaceuticals incorporated;vertex pharmaceuticals inc
VTR;375;Financials;4;VTR_quarterly_financial_data.xls;ventas;ventas inc;ventas inc
VZ;376;Telecommunication Services;10;VZ_quarterly_financial_data.xls;verizon communications;verizon communications inc;verizon communications inc
WAT;377;Health Care;5;WAT_quarterly_financial_data.xls;waters;waters corporation;waters corp
WBA;378;Consumer Staples;2;WAG_quarterly_financial_data.xls;walgreen;walgreens boots alliance inc;walgreens boots alliance inc
WDAY;379;Information Technology;7;NA;workday;workday inc;workday inc
WDC;380;Information Technology;7;WDC_quarterly_financial_data.xls;western digital;western digital corporation;western digital corp
WFC;381;Financials;4;WFC_quarterly_financial_data.xls;wells fargo;wells fargo & company;wells fargo & co
WFM;382;Consumer Staples;2;WFMI_quarterly_financial_data.xls;whole foods market;whole foods market inc;whole foods market inc
WHR;383;Consumer Discretionary;1;WHR_quarterly_financial_data.xls;whirlpool;whirlpool corporation;whirlpool corp
WM;384;Industrials;6;WM_quarterly_financial_data.xls;waste management;waste management inc;waste management inc
WMB;385;Energy;3;NA;williams;williams partners lp;williams partners lp
WMT;386;Consumer Staples;2;WMT_quarterly_financial_data.xls;wal-mart stores;wal-mart stores inc;wal-mart stores inc
WU;387;Information Technology;7;WU_quarterly_financial_data.xls;western union;the western union company;western union co
WY;388;Financials;4;WY_quarterly_financial_data.xls;weyerhaeuser;weyerhaeuser company;weyerhaeuser co
WYN;389;Consumer Discretionary;1;WYN_quarterly_financial_data.xls;wyndham worldwide;wyndham worldwide corporation;wyndham worldwide corp
XEC;390;Energy;3;XEC_quarterly_financial_data.xls;cimarex energy;cimarex energy co;cimarex energy co
XEL;391;Utilities;11;XEL_quarterly_financial_data.xls;xcel energy;xcel energy inc;xcel energy inc
XLNX;392;Information Technology;7;XLNX_quarterly_financial_data.xls;xilinx;xilinx inc;xilinx inc
XOM;393;Energy;3;XOM_quarterly_financial_data.xls;exxon mobil;exxon mobil corporation;exxon mobil corp
XRX;394;Information Technology;7;XRX_quarterly_financial_data.xls;xerox;xerox corporation;xerox corp
YHOO;395;Information Technology;7;YHOO_quarterly_financial_data.xls;yahoo!;yahoo! inc;yahoo! inc
YUM;396;Consumer Discretionary;1;YUM_quarterly_financial_data.xls;yum! brands;yum! brands inc;yum! brands inc
ZBH;397;Health Care;5;ZMH_quarterly_financial_data.xls;zimmer holdings;zimmer holdings inc;zimmer holdings inc
